"Species","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Number of records","Conservation","Invasive"
"https://id.biodiversity.org.au/node/apni/2903703","Utricularia quinquedentata","F.Muell. ex P.Taylor","species","Plantae","Charophyta","Equisetopsida","Lamiales","Lentibulariaceae","Utricularia",,"6","Western Australia : Conservation status",""
"https://id.biodiversity.org.au/node/apni/2903717","Pultenaea benthamii","F.Muell.","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Pultenaea","Bentham's Bush-pea","6","Queensland : Conservation Status | Victoria : Conservation Status",""
"https://id.biodiversity.org.au/node/apni/2904655","Crotalaria virgulata","Klotzsch","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Crotalaria",,"6","Queensland : Conservation Status",""
"https://id.biodiversity.org.au/node/apni/2905009","Deutzia crenata","Sieber & Zucc.","species","Plantae","Charophyta","Equisetopsida","Cornales","Hydrangeaceae","Deutzia","Deutzia","6","",""
"https://id.biodiversity.org.au/node/apni/2905109","Oxalis flava","L.","species","Plantae","Charophyta","Equisetopsida","Oxalidales","Oxalidaceae","Oxalis","Pinkbulb Soursob","6","",""
"https://id.biodiversity.org.au/node/apni/2905280","Dopatrium junceum","(Roxb.) Buch.-Ham. ex Benth.","species","Plantae","Charophyta","Equisetopsida","Lamiales","Plantaginaceae","Dopatrium",,"6","Western Australia : Conservation status",""
"https://id.biodiversity.org.au/node/apni/2905420","Phaseolus vulgaris","L.","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Phaseolus","French Bean","6","Queensland : Conservation Status",""
"https://id.biodiversity.org.au/node/apni/2905726","Planchonella reticulata","(Baill.) Pierre ex Dubard","species","Plantae","Charophyta","Equisetopsida","Ericales","Sapotaceae","Planchonella",,"6","",""
"https://id.biodiversity.org.au/node/apni/2905760","Aristida forsteri","B.K.Simon","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Aristida",,"6","Queensland : Conservation Status",""
"https://id.biodiversity.org.au/node/apni/2905888","Xanthorrhoea preissii","Endl.","species","Plantae","Charophyta","Equisetopsida","Asparagales","Xanthorrhoeaceae","Xanthorrhoea","Grass Tree","6","",""
"https://id.biodiversity.org.au/node/apni/2906132","Cota tinctoria","(L.) J.Gay ex Guss.","species","Plantae","Charophyta","Equisetopsida","Asterales","Asteraceae","Cota",,"6","",""
"https://id.biodiversity.org.au/node/apni/2906163","Angelonia salicariifolia","Humb. & Bonpl.","species","Plantae","Charophyta","Equisetopsida","Lamiales","Plantaginaceae","Angelonia",,"6","",""
