Species,Species Name,Scientific Name Authorship,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Conservation,Invasive
https://id.biodiversity.org.au/node/apni/2894390,Marsdenia longiloba,Benth.,species,Plantae,Charophyta,Equisetopsida,Gentianales,Apocynaceae,Marsdenia,Slender Marsdenia,New South Wales : Conservation Status,
https://id.biodiversity.org.au/node/apni/2894677,Typha orientalis,C.Presl,species,Plantae,Charophyta,Equisetopsida,Poales,Typhaceae,Typha,Cumbungi,,
https://id.biodiversity.org.au/node/apni/2894838,Anopterus macleayanus,F.Muell.,species,Plantae,Charophyta,Equisetopsida,Escalloniales,Escalloniaceae,Anopterus,Macleay Laurel,,
https://id.biodiversity.org.au/node/apni/2894870,Platysace ericoides,(Sieber ex Spreng.) C.Norman,species,Plantae,Charophyta,Equisetopsida,Apiales,Apiaceae,Platysace,Heath Platysace,Victoria : Conservation Status,
https://id.biodiversity.org.au/node/apni/2895670,Polygala japonica,Houtt.,species,Plantae,Charophyta,Equisetopsida,Fabales,Polygalaceae,Polygala,Dwarf Milkwort,Victoria : Conservation Status,
https://id.biodiversity.org.au/node/apni/2895703,Scaevola calendulacea,(Andrews) Druce,species,Plantae,Charophyta,Equisetopsida,Asterales,Goodeniaceae,Scaevola,Dune Fan-flower,South Australia : Conservation Status | Victoria : Conservation Status,
https://id.biodiversity.org.au/node/apni/2895812,Lablab purpureus,(L.) Sweet,species,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Lablab,Hyacinth Bean,,Non-native species
https://id.biodiversity.org.au/node/apni/2895891,Hakea sericea,Schrad. & J.C.Wendl.,species,Plantae,Charophyta,Equisetopsida,Proteales,Proteaceae,Hakea,Needlebush,,
https://id.biodiversity.org.au/node/apni/2896076,Entolasia whiteana,C.E.Hubb.,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Entolasia,,,
https://id.biodiversity.org.au/node/apni/2896194,Chloris virgata,Sw.,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Chloris,Feather Fingergrass,,Non-native species
https://id.biodiversity.org.au/node/apni/2896591,Schoenus vaginatus,F.Muell. ex Benth.,species,Plantae,Charophyta,Equisetopsida,Poales,Cyperaceae,Schoenus,,,
https://id.biodiversity.org.au/node/apni/2896917,Cheilanthes tenuifolia,(Burm.f.) Sw.,species,Plantae,Charophyta,Equisetopsida,,Pteridaceae,Cheilanthes,Rock Fern,,
https://id.biodiversity.org.au/node/apni/2897021,Polyscias sambucifolia,(Sieber ex DC.) Harms,species,Plantae,Charophyta,Equisetopsida,Apiales,Araliaceae,Polyscias,Elderberry Panax,,
https://id.biodiversity.org.au/node/apni/2897153,Parsonsia rotata,Maiden & Betche,species,Plantae,Charophyta,Equisetopsida,Gentianales,Apocynaceae,Parsonsia,Veinless Silkpod,,
https://id.biodiversity.org.au/node/apni/2897246,Dinosperma erythrococcum,(F.Muell.) T.G.Hartley,species,Plantae,Charophyta,Equisetopsida,Sapindales,Rutaceae,Dinosperma,Tingletongue,,Global Invasive Species Information Network (GISIN)
https://id.biodiversity.org.au/node/apni/2897771,Rostellularia obtusa,Nees,species,Plantae,Charophyta,Equisetopsida,Lamiales,Acanthaceae,Rostellularia,,,Global Invasive Species Information Network (GISIN)
https://id.biodiversity.org.au/node/apni/2898015,Hydrocotyle laxiflora,DC.,species,Plantae,Charophyta,Equisetopsida,Apiales,Araliaceae,Hydrocotyle,Stinking Pennywort,Tasmania : Conservation Status,
https://id.biodiversity.org.au/node/apni/2898040,Acacia baueri,Benth.,species,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Tiny Wattle,,Non-native species | Weeds listing  Queensland Government
https://id.biodiversity.org.au/node/apni/2898250,Senecio tenuiflorus,(DC.) Sieber ex Sch.Bip.,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Senecio,,,
https://id.biodiversity.org.au/node/apni/2898485,Pseudanthus orientalis,F.Muell.,species,Plantae,Charophyta,Equisetopsida,Malpighiales,Euphorbiaceae,Pseudanthus,,,
https://id.biodiversity.org.au/node/apni/2898628,Bromus catharticus,Vahl,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Bromus,Prairie Grass,,Non-native species
https://id.biodiversity.org.au/node/apni/2899172,Amyema miquelii,(Lehm. ex Miq.) Tiegh.,species,Plantae,Charophyta,Equisetopsida,Santalales,Loranthaceae,Amyema,Box Mistletoe,,
https://id.biodiversity.org.au/node/apni/2899394,Bothriochloa bladhii,(Retz.) S.T.Blake,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Bothriochloa,Blue Grass,,
https://id.biodiversity.org.au/node/apni/2899486,Monstera deliciosa,Liebm.,species,Plantae,Charophyta,Equisetopsida,Alismatales,Araceae,Monstera,,,Non-native species
https://id.biodiversity.org.au/node/apni/2899528,Glycine tomentella,Hayata,species,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Glycine,Woolly Glycine,,
https://id.biodiversity.org.au/node/apni/2899547,Callistemon citrinus,(Curtis) Skeels,species,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Callistemon,Lemon Bottlebrush,,
https://id.biodiversity.org.au/node/apni/2899913,Myriophyllum aquaticum,(Vell.) Verdc.,species,Plantae,Charophyta,Equisetopsida,Saxifragales,Haloragaceae,Myriophyllum,Parrots Feather,,Non-native species | WA State Notifiable Pests | Global Invasive Species Information Network (GISIN)
https://id.biodiversity.org.au/node/apni/2900092,Polygala virgata,Thunb.,species,Plantae,Charophyta,Equisetopsida,Fabales,Polygalaceae,Polygala,Broom Milkwort,,
https://id.biodiversity.org.au/node/apni/2900593,Tithonia diversifolia,(Hemsl.) A.Gray,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Tithonia,Tree Marigold,,Non-native species | Weeds listing  Queensland Government
https://id.biodiversity.org.au/node/apni/2900605,Erigeron karvinskianus,DC.,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Erigeron,Bony-tip Fleabane,,Non-native species | Global Invasive Species Information Network (GISIN)
https://id.biodiversity.org.au/node/apni/2900655,Stachys arvensis,(L.) L.,species,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Stachys,Stagger Weed,,
https://id.biodiversity.org.au/node/apni/2900742,Notelaea johnsonii,P.S.Green,species,Plantae,Charophyta,Equisetopsida,Lamiales,Oleaceae,Notelaea,Veinless Mock Olive,,
https://id.biodiversity.org.au/node/apni/2900848,Setaria incrassata,(Hochst.) Hack.,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Setaria,Purple Pigeon Grass,,Non-native species
https://id.biodiversity.org.au/node/apni/2901020,Gibasis pellucida,(M.Martens & Galeotti) D.R.Hunt,species,Plantae,Charophyta,Equisetopsida,Commelinales,Commelinaceae,Gibasis,,,Non-native species
https://id.biodiversity.org.au/node/apni/2901115,Poa annua,L.,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Poa,Winter Grass,,Non-native species
https://id.biodiversity.org.au/node/apni/2901308,Setaria parviflora,(Poir.) Kerguelen,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Setaria,,,Non-native species
https://id.biodiversity.org.au/node/apni/2901317,Peperomia tetraphylla,Hook. & Arn.,species,Plantae,Charophyta,Equisetopsida,Piperales,Piperaceae,Peperomia,Four-leaved Peperomia,,Global Invasive Species Information Network (GISIN)
https://id.biodiversity.org.au/node/apni/2901632,Euphorbia hyssopifolia,L.,species,Plantae,Charophyta,Equisetopsida,Malpighiales,Euphorbiaceae,Euphorbia,,,
https://id.biodiversity.org.au/node/apni/2901963,Eleocharis minuta,Boeckeler,species,Plantae,Charophyta,Equisetopsida,Poales,Cyperaceae,Eleocharis,Variable Spike-rush,,Non-native species
https://id.biodiversity.org.au/node/apni/2902145,Cenchrus clandestinus,(Hochst. ex Chiov.) Morrone,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Cenchrus,,,Global Invasive Species Information Network (GISIN)
https://id.biodiversity.org.au/node/apni/2902325,Salvia involucrata,Cav.,species,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Salvia,,,
https://id.biodiversity.org.au/node/apni/2902394,Axonopus compressus,(Sw.) P.Beauv.,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Axonopus,Carpet Grass,,Non-native species
https://id.biodiversity.org.au/node/apni/2902404,Antigonon leptopus,Hook. & Arn.,species,Plantae,Charophyta,Equisetopsida,Caryophyllales,Polygonaceae,Antigonon,Coral Vine,,Global Invasive Species Information Network (GISIN)
https://id.biodiversity.org.au/node/apni/2902470,Melodinus acutiflorus,F.Muell.,species,Plantae,Charophyta,Equisetopsida,Gentianales,Apocynaceae,Melodinus,Merangarra,,
https://id.biodiversity.org.au/node/apni/2902548,Ardisia crenata,Sims,species,Plantae,Charophyta,Equisetopsida,Ericales,Primulaceae,Ardisia,Coralberry,,Global Invasive Species Information Network (GISIN)
https://id.biodiversity.org.au/node/apni/2902613,Acacia juncifolia,Benth.,species,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Rush-leaved Wattle,,Non-native species | Weeds listing  Queensland Government
https://id.biodiversity.org.au/node/apni/2902630,Fimbristylis nutans,(Retz.) Vahl,species,Plantae,Charophyta,Equisetopsida,Poales,Cyperaceae,Fimbristylis,,,
https://id.biodiversity.org.au/node/apni/2902648,Desmodium incanum,(Sw.) DC.,species,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Desmodium,,,
https://id.biodiversity.org.au/node/apni/2902695,Citrus x limon,(L.) Osbeck,species,Plantae,Charophyta,Equisetopsida,Sapindales,Rutaceae,Citrus,Lemons,,Non-native species | Global Invasive Species Information Network (GISIN)
https://id.biodiversity.org.au/node/apni/2902749,Arytera foveolata,F.Muell.,species,Plantae,Charophyta,Equisetopsida,Sapindales,Sapindaceae,Arytera,Pitted Coogera,,Non-native species
https://id.biodiversity.org.au/node/apni/2902929,Westringia fruticosa,(Willd.) Druce,species,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Westringia,Coastal Rosemary,,
https://id.biodiversity.org.au/node/apni/2902951,Eichhornia crassipes,(Mart.) Solms,species,Plantae,Charophyta,Equisetopsida,Commelinales,Pontederiaceae,Eichhornia,Water Hyacinth,,Non-native species | Weeds of National Significance (WoNS) as at Feb. 2013 | Weeds listing  Queensland Government | Global Invasive Species Information Network (GISIN)
https://id.biodiversity.org.au/node/apni/2903353,Notelaea punctata,R.Br.,species,Plantae,Charophyta,Equisetopsida,Lamiales,Oleaceae,Notelaea,,,
https://id.biodiversity.org.au/node/apni/2903457,Limnophila brownii,Wannan,species,Plantae,Charophyta,Equisetopsida,Lamiales,Plantaginaceae,Limnophila,,,Global Invasive Species Information Network (GISIN)
https://id.biodiversity.org.au/node/apni/2903568,Botrychium australe,R.Br.,species,Plantae,Charophyta,Equisetopsida,Ophioglossales,Ophioglossaceae,Botrychium,Pātōtara,South Australia : Conservation Status | Tasmania : Conservation Status | Victoria : Conservation Status,
https://id.biodiversity.org.au/node/apni/2903901,Andropogon gayanus,Kunth,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Andropogon,,,Non-native species | Weeds of National Significance (WoNS) as at Feb. 2013 | Weeds listing  Queensland Government
